名称,在售价格,在售数量
格洛克18型 | 一目了然 (略有磨损),￥2.86,"
                            54"
2023年巴黎锦标赛死亡游乐园纪念包,￥18.34,"
                            48"
马尔库斯·戴劳 | 联邦调查局（FBI）人质营救队,￥75.12,"
                            436"
P90（纪念品） | 白蜡木 (久经沙场),￥5.83,"
                            14"
PP-野牛 | 碳素纤维 (略有磨损),￥76.75,"
                            9"
XM1014 | 蓝色轮胎 (崭新出厂),￥6.56,"
                            42"
折叠刀（★ StatTrak™） | 自由之手 (战痕累累),￥1855.00,"
                            2"
弯刀（★） | 黑色层压板 (久经沙场),￥477.00,"
                            60"
印花 | Team Liquid（全息）| 2022年安特卫普锦标赛,￥55.00,"
                            31"
丛林反抗者 | 精锐分子,￥213.90,"
                            213"
USP消音版 | 闪回 (破损不堪),￥6.06,"
                            33"
驾驶手套（★） | 蓝紫格子 (略有磨损),￥4699.00,"
                            21"
裹手（★） | 警告！ (略有磨损),￥2449.00,"
                            65"
XM1014 | 口香糖迷彩 (略有磨损),￥1.00,"
                            155"
MAC-10 | 冲浪木 (久经沙场),￥33.48,"
                            10"
封装的涂鸦 | 担心 (靛蓝),￥0.10,"
                            7"
马克西姆斯 | 军刀,￥66.70,"
                            4107"
封装的涂鸦 | 担心 (靛蓝),￥0.10,"
                            7"
马克西姆斯 | 军刀,￥66.70,"
                            4107"
“两次”麦考伊 | 战术空中管制部队装甲兵,￥79.99,"
                            504"
地面叛军 | 精锐分子,￥77.50,"
                            564"
德拉戈米尔 | 军刀勇士,￥78.70,"
                            341"
特种兵 | 联邦调查局（FBI）特警,￥92.45,"
                            893"
化学防害专家 | 特警,￥100.00,"
                            234"
军医少尉 | 法国宪兵特勤队,￥108.00,"
                            203"
弹弓 | 凤凰战士,￥106.00,"
                            706"
P2000（StatTrak™） | 盘根错节 (破损不堪),￥1.06,"
                            18"
M4A1消音版 | 暴怒野兽 (略有磨损),￥1656.00,"
                            110"
截短霰弹枪 | 北海巨妖 (崭新出厂),￥643.00,"
                            51"
MP5-SD（StatTrak™） | 鼻青脸肿 (战痕累累),￥5.26,"
                            9"
SSG 08 | 主机001 (略有磨损),￥1.39,"
                            223"
B 中队指挥官 | 英国空军特别部队,￥110.98,"
                            398"
化学防害上尉| 法国宪兵特勤队,￥197.81,"
                            441"
双持贝瑞塔（纪念品） | 蔷薇 (略有磨损),￥10.87,"
                            16"
沙漠之鹰（StatTrak™） | 书法涂鸦 (久经沙场),￥4.31,"
                            195"
印花 | Cloud9（闪耀）| 2024年上海锦标赛,￥5.36,"
                            19"
新星（StatTrak™） | 目镜 (破损不堪),￥12.26,"
                            19"
P90 | 擦擦 (崭新出厂),￥2.27,"
                            247"
XM1014 | 幽独 (破损不堪),￥14.23,"
                            28"
P90 | 三角 (破损不堪),￥119.00,"
                            4"
短剑（★ StatTrak™） | 枯焦之色 (战痕累累),￥1261.00,"
                            3"
海豹短刀（★ StatTrak™） | 表面淬火 (久经沙场),￥1544.00,"
                            9"
幻彩 3 号武器箱,￥23.31,"
                            2990"
驾驶手套（★） | 超越 (略有磨损),￥1100.00,"
                            85"
运动手套（★） | 青铜形态 (略有磨损),￥1933.90,"
                            89"
AK-47 | 阿努比斯军团 (崭新出厂),￥406.00,"
                            371"
M4A4 | 赛博 (久经沙场),￥320.00,"
                            41"
M4A4 | 破浪狂飙 (破损不堪),￥320.00,"
                            95"
音乐盒 | Knock2 - 冲击星*,￥76.50,"
                            130"
PP-野牛 | 红苹果 (略有磨损),￥0.30,"
                            285"
印花 | ZywOo（全息）| 2025年布达佩斯锦标赛,￥330.00,"
                            16"
弯刀（★ StatTrak™） | 虎牙 (崭新出厂),￥1514.00,"
                            21"
MP9 | 毛细血管 (略有磨损),￥2.78,"
                            77"
AUG（StatTrak™） | 后发制人 (久经沙场),￥2.71,"
                            76"
折叠刀（★ StatTrak™） | 深红之网 (久经沙场),￥1595.00,"
                            4"
弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场),￥852.00,"
                            15"
印花 | 战吼（绿色）,￥5.09,"
                            50"
印花 | brnz4n（全息）| 2024年上海锦标赛,￥3.13,"
                            5"
印花 | magixx（全息）| 2024年上海锦标赛,￥7.77,"
                            27"
2025年奥斯汀锦标赛挑战组亲笔签名胶囊,￥2.68,"
                            2115"
猎杀者匕首（★） | 都市伪装 (略有磨损),￥768.00,"
                            5"
印花 | NiKo（全息）| 2024年上海锦标赛,￥30.63,"
                            32"
印花 | Natus Vincere（闪耀）| 2024年上海锦标赛,￥1.32,"
                            71"
Tec-9 | 晶红石英 (略有磨损),￥2.00,"
                            294"
短剑（★） | 表面淬火 (崭新出厂),￥4164.00,"
                            8"
印花 | s1mple | 2019年柏林锦标赛,￥8.61,"
                            40"
G3SG1（StatTrak™） | 毒刺 (略有磨损),￥18.32,"
                            27"
Tec-9 | 梗怖分子 (崭新出厂),￥1798.00,"
                            7"
印花 | 2014年 ESL One 科隆锦标赛（蓝色）,￥218.00,"
                            4"
刺刀（★ StatTrak™） | 致命紫罗兰 (破损不堪),￥1488.00,"
                            4"
骷髅匕首（★ StatTrak™） | 人工染色 (破损不堪),￥2097.00,"
                            8"
SSG 08 | 通灵者 (破损不堪),￥2.97,"
                            17"
折刀（★ StatTrak™） | 北方森林 (战痕累累),￥445.00,"
                            4"
印花 | 鲍里斯,￥1.76,"
                            6"
USP消音版 | 凯门鳄 (崭新出厂),￥580.00,"
                            96"
熊刀（★）,￥717.00,"
                            172"
AK-47 | 霓虹革命 (久经沙场),￥825.00,"
                            1844"
双持贝瑞塔 | 天秤之月 (久经沙场),￥36.00,"
                            29"
沙漠之鹰 | 热处理 (久经沙场),￥9.99,"
                            1796"
加利尔AR | 经济 (略有磨损),￥608.99,"
                            111"
MP7（纪念品） | 渐变之色 (久经沙场),￥204.00,"
                            5"
M4A1消音版 | 原子合金 (略有磨损),￥579.00,"
                            87"
AWP | 珊瑚树 (崭新出厂),￥2222.00,"
                            53"
格洛克18型 | AXIA (崭新出厂),￥1255.00,"
                            175"
AK-47 | 霓虹骑士 (略有磨损),￥670.00,"
                            243"
AK-47 | 美洲猛虎 (略有磨损),￥1265.00,"
                            57"
印花 | Team EnVyUs（全息）| 2018年波士顿锦标赛,￥260.00,"
                            2"
XM1014 | 西装革履 (略有磨损),￥11.24,"
                            16"
MAC-10 | 烧尽 (破损不堪),￥53.76,"
                            4"
英勇胸章,￥26.34,"
                            46"
印花 | 满口贵（闪亮）,￥8.98,"
                            413"
AK-47 | 火蛇 (崭新出厂),￥26424.00,"
                            27"
AK-47 | 可燃冰 (破损不堪),￥41.50,"
                            141"
封装的涂鸦 | 100 Thieves | 2018年波士顿锦标赛,￥104.00,"
                            4"
宙斯x27电击枪 | 鼾龙传说 (崭新出厂),￥1050.00,"
                            53"
印花 | Jee（全息）| 2024年哥本哈根锦标赛,￥31.65,"
                            27"
印花 | FURIA（全息）| 2023年巴黎锦标赛,￥27.79,"
                            32"
MAG-7 | 威吓者 (略有磨损),￥236.00,"
                            15"
R8左轮手枪 | 渐变琥珀 (崭新出厂),￥11.96,"
                            687"
SG 553 | 次时代 (略有磨损),￥64.72,"
                            8"
SG 553 | 红苹果 (崭新出厂),￥115.00,"
                            121"
弯刀（★ StatTrak™） | 深红之网 (战痕累累),￥1706.00,"
                            3"
海军上尉里克索尔 | 海军水面战中心海豹部队,￥148.00,"
                            359"
UMP-45 | 深夜通勤 (破损不堪),￥2.78,"
                            87"
骷髅匕首（★） | 虎牙 (崭新出厂),￥2830.00,"
                            87"
印花 | Senzu（全息）| 2025年奥斯汀锦标赛,￥30.00,"
                            29"
印花 | 黄金新星（全息）,￥17.44,"
                            31"
印花 | 独角兽（全息）,￥16.49,"
                            105"
印花 | 巨龙传说 (闪亮),￥107.00,"
                            14"
印花 | 火车离站（全息）,￥41.50,"
                            86"
印花 | 斯芬克斯（全息）,￥6.65,"
                            24"
M4A1消音版 | 破碎铅秋 (久经沙场),￥61.00,"
                            1102"
印花 | 独角兽,￥4.15,"
                            27"
USP消音版 | 力矩 (略有磨损),￥9.49,"
                            156"
加利尔AR | 彩虹勺 (崭新出厂),￥665.99,"
                            245"
Tec-9（StatTrak™） | 屠杀者 (略有磨损),￥520.00,"
                            10"
AK-47（纪念品） | 绿色层压板 (久经沙场),￥113.00,"
                            83"
驾驶手套（★） | 雪豹 (略有磨损),￥5600.00,"
                            37"
双持贝瑞塔（StatTrak™） | 毒蛇袭击 (战痕累累),￥607.00,"
                            3"
猎杀者匕首（★ StatTrak™） | 深红之网 (战痕累累),￥1647.00,"
                            2"
系绳匕首（★ StatTrak™） | 都市伪装 (破损不堪),￥789.00,"
                            5"
暗影双匕（★ StatTrak™） | 森林 DDPAT (破损不堪),￥920.00,"
                            3"
爪子刀（★ StatTrak™） | 狩猎网格 (战痕累累),￥4175.00,"
                            3"
伽玛 2 号武器箱,￥24.23,"
                            3933"
加利尔AR | 深红海啸 (破损不堪),￥15.02,"
                            20"
廓尔喀刀（★ StatTrak™） | 人工染色 (久经沙场),￥650.00,"
                            18"
折叠刀（★） | 都市伪装 (久经沙场),￥750.00,"
                            55"
AK-47 | 红线 (久经沙场),￥231.00,"
                            865"
法玛斯 | 防滚架 (崭新出厂),￥1375.99,"
                            34"
AK-47 | 火蛇 (略有磨损),￥10849.99,"
                            73"
AWP | 可燃冰 (久经沙场),￥87.16,"
                            107"
MP7 | 吸烟有害健康 (久经沙场),￥54.58,"
                            126"
印花 | 镀铬颅骨（全息）,￥29.00,"
                            121"
加利尔AR | 绿苹果 (久经沙场),￥0.65,"
                            541"
伽玛武器箱,￥24.98,"
                            4197"
廓尔喀刀（★） | 都市伪装 (破损不堪),￥442.00,"
                            19"
格洛克18型 | 暮光星系 (久经沙场),￥1995.00,"
                            6"
M4A1消音版 | 次时代 (久经沙场),￥1073.00,"
                            435"
双持贝瑞塔 | 血红蛋白 (崭新出厂),￥93.35,"
                            132"
内格夫 | 酸葡萄 (破损不堪),￥1.20,"
                            11"
UMP-45 | 野孩子 (崭新出厂),￥145.00,"
                            18"
印花 | Wildcard（闪耀）| 2024年上海锦标赛,￥2.60,"
                            1"
2024年上海锦标赛竞争组亲笔签名胶囊,￥1.85,"
                            1131"
印花 | ICY（全息）| 2024年上海锦标赛,￥15.00,"
                            4"
印花 | somebody（闪耀）| 2024年上海锦标赛,￥3.22,"
                            25"
内格夫 | 沙漠精英 (战痕累累),￥5.23,"
                            15"
AK-47 | 红色层压板 (略有磨损),￥756.00,"
                            46"
专业手套（★） | 陆军少尉长官 (略有磨损),￥2050.00,"
                            42"
爪子刀（★） | 深红之网 (略有磨损),￥7354.19,"
                            9"
Tec-9 | 坍雪寒裘 (略有磨损),￥31.00,"
                            77"
沙漠之鹰（StatTrak™） | 轻轨 (破损不堪),￥24.20,"
                            60"
加利尔AR | 蓝钛 (崭新出厂),￥32.89,"
                            130"
印花 | Imperial Esports（全息）| 2022年安特卫普锦标赛,￥62.62,"
                            21"
鲍伊猎刀（★） | 传说 (久经沙场),￥655.00,"
                            42"
法玛斯（StatTrak™） | 幸存者 Z (略有磨损),￥12.04,"
                            31"
印花 | Avangar | 2019年卡托维兹锦标赛,￥25.02,"
                            23"
M9 刺刀（★ StatTrak™） | 自动化 (久经沙场),￥5077.00,"
                            6"
音乐盒 | Troels Folmann - 超爆话筒,￥13.86,"
                            43"
M4A1消音版 | 暴怒野兽 (崭新出厂),￥5288.00,"
                            28"
AK-47 | 轨道 Mk01 (崭新出厂),￥785.00,"
                            161"
R8左轮手枪 | 稳 (略有磨损),￥1.50,"
                            23"
印花 | 三寸鸟七寸嘴,￥4.00,"
                            105"
战术胸章,￥23.64,"
                            18"
AUG | 贵族 (略有磨损),￥13.66,"
                            24"
MAC-10 | 赭色大马士革 (破损不堪),￥2.71,"
                            11"
UMP-45 | 设施系列·深色图 (崭新出厂),￥0.20,"
                            124"
新星 | 芯轴 (崭新出厂),￥0.19,"
                            241"
P250 | 设施系列·草图 (崭新出厂),￥0.16,"
                            284"
摩托手套（★） | 终点线 (久经沙场),￥728.99,"
                            150"
P250 | 生化短吻鳄 (略有磨损),￥635.00,"
                            297"
残酷的达里尔爵士（沉默）| 专业人士,￥349.40,"
                            343"
AK-47 | 抽象派 1337 (破损不堪),￥2263.99,"
                            19"
骷髅匕首（★ StatTrak™） | 致命紫罗兰 (略有磨损),￥2451.00,"
                            7"
M9 刺刀（★ StatTrak™） | 人工染色 (战痕累累),￥4612.00,"
                            4"
M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场),￥2850.00,"
                            8"
AK-47 | 血腥运动 (崭新出厂),￥1770.00,"
                            378"
AUG | 孟加拉猛虎 (略有磨损),￥257.00,"
                            11"
AWP | 九头金蛇 (崭新出厂),￥25800.00,"
                            28"
M9 刺刀（★） | 表面淬火 (略有磨损),￥5160.00,"
                            11"
印花 | Fnatic | 2023年巴黎锦标赛,￥0.02,"
                            184"
挂件 | 丁烷拍档,￥537.00,"
                            35"
截短霰弹枪 | 模拟输入 (略有磨损),￥5.98,"
                            265"
XM1014 | 半调转换 (略有磨损),￥18.68,"
                            88"
R8左轮手枪 | 稳 (崭新出厂),￥4.50,"
                            45"
印花 | sh1ro（金色）| 2024年上海锦标赛,￥80.15,"
                            12"
截短霰弹枪 | 么么 (略有磨损),￥48.00,"
                            121"
截短霰弹枪 | 么么 (崭新出厂),￥142.99,"
                            17"
M4A1 消音型 | 紧迫危机 (崭新出厂),￥11999.00,"
                            8"
音乐盒 | KILL SCRIPT - 通宵达旦,￥19.00,"
                            144"
音乐盒 | Denzel Curry - 终极,￥22.44,"
                            205"
MP7 | 血腥运动 (略有磨损),￥355.00,"
                            232"
AK-47 | 血腥运动 (久经沙场),￥1035.00,"
                            240"
鲍伊猎刀（★） | 蓝钢 (战痕累累),￥880.00,"
                            11"
刺刀（★ StatTrak™） | 澄澈之水 (久经沙场),￥1309.00,"
                            9"
M9 刺刀（★） | 狩猎网格 (战痕累累),￥2441.00,"
                            12"
M249（StatTrak™） | 阿兹特克 (破损不堪),￥18.17,"
                            9"
UMP-45（StatTrak™） | 暴乱 (破损不堪),￥3.44,"
                            26"
MP9 | 致命毒药 (略有磨损),￥6.50,"
                            97"
布章 | 先锋,￥1.49,"
                            30"
音乐盒 | 完美世界，诶嘿,￥19.85,"
                            143"
AWP | 复古流行 (崭新出厂),￥290.00,"
                            216"
R8左轮手枪（StatTrak™） | 蕉农炮 (久经沙场),￥3.51,"
                            55"
双持贝瑞塔 | 蔷薇 (崭新出厂),￥31.08,"
                            63"
SSG 08 | 炎龙之焰 (崭新出厂),￥4399.99,"
                            176"
沙漠之鹰 | 噩梦之夜 (略有磨损),￥133.87,"
                            22"
折刀（★） | 夜色 (破损不堪),￥388.00,"
                            9"
法玛斯 | 机械工业 (崭新出厂),￥613.90,"
                            193"
P250（StatTrak™） | 炼狱小镇 (破损不堪),￥19.56,"
                            4"
系绳匕首（★） | 蓝钢 (略有磨损),￥726.00,"
                            24"
穿肠刀（★ StatTrak™） | 大马士革钢 (久经沙场),￥659.00,"
                            7"
鲍伊猎刀（★ StatTrak™） | 自由之手 (崭新出厂),￥1086.00,"
                            7"
系绳匕首（★ StatTrak™） | 狩猎网格 (战痕累累),￥508.00,"
                            15"
求生匕首（★ StatTrak™） | 枯焦之色 (战痕累累),￥656.00,"
                            8"
穿肠刀（★） | 人工染色 (久经沙场),￥489.00,"
                            38"
猎杀者匕首（★ StatTrak™） | 传说 (战痕累累),￥1032.00,"
                            14"
熊刀（★ StatTrak™） | 枯焦之色 (战痕累累),￥749.00,"
                            4"
AK-47 | 橄榄迷彩 (崭新出厂),￥4.94,"
                            7301"
M4A4 | X 射线 (崭新出厂),￥1879.00,"
                            129"
M4A1消音版 | 机械工业 (略有磨损),￥1683.00,"
                            192"
猎杀者匕首（★ StatTrak™） | 蓝钢 (略有磨损),￥2250.00,"
                            5"
P90 | 集装箱 (战痕累累),￥0.58,"
                            45"
CZ75自动型（StatTrak™） | 红鹰 (破损不堪),￥11.53,"
                            12"
刺刀（★） | 伽玛多普勒 (略有磨损),￥5673.00,"
                            5"
系绳匕首（★） | 深红之网 (破损不堪),￥744.00,"
                            14"
短剑（★ StatTrak™） | 北方森林 (破损不堪),￥1033.00,"
                            4"
格洛克18型 | 摩登时代 (久经沙场),￥24.98,"
                            571"
XM1014 | 埋葬之影 (久经沙场),￥23.49,"
                            427"
P250 | 迷人幻象 (久经沙场),￥24.44,"
                            738"
双持贝瑞塔（StatTrak™） | 毒蛇袭击 (破损不堪),￥612.00,"
                            5"
短剑（★） | 渐变之色 (略有磨损),￥3683.00,"
                            9"
弯刀（★ StatTrak™） | 人工染色 (破损不堪),￥1048.00,"
                            2"
折叠刀（★ StatTrak™） | 致命紫罗兰 (战痕累累),￥1093.00,"
                            8"
印花 | 白银（闪亮）,￥11.75,"
                            7"
SSG 08（StatTrak™） | 无尽深海 (略有磨损),￥17.60,"
                            63"
CZ75自动型（StatTrak™） | 印花板 (久经沙场),￥2.64,"
                            14"
新星（纪念品） | 流沙 (久经沙场),￥1.46,"
                            33"
AUG | 汤姆猫 (崭新出厂),￥3.29,"
                            80"
新星（纪念品） | 流沙 (久经沙场),￥1.46,"
                            33"
AUG | 汤姆猫 (崭新出厂),￥3.29,"
                            80"
沙漠之鹰 | 泥地杀手 (略有磨损),￥1.28,"
                            22"
SSG 08 | 幽灵战士 (战痕累累),￥8.33,"
                            36"
M4A1消音版 | 梦魇 (略有磨损),￥155.00,"
                            212"
猎杀者匕首（★）,￥961.00,"
                            27"
AWP | 二西莫夫 (久经沙场),￥800.00,"
                            467"
MP9 | 气密 (久经沙场),￥80.38,"
                            186"
M4A1消音版（StatTrak™） | 印花集 (战痕累累),￥1970.00,"
                            24"
AK-47 | 酷炫涂鸦皮革 (战痕累累),￥2177.00,"
                            17"
猎杀者匕首（★ StatTrak™） | 北方森林 (破损不堪),￥832.00,"
                            3"
UMP-45（纪念品） | 深夜通勤 (略有磨损),￥22.25,"
                            9"
SCAR-20（StatTrak™） | 蓝图 (略有磨损),￥6.72,"
                            29"
印花 | westmelon（闪耀）| 2024年哥本哈根锦标赛,￥2.00,"
                            2"
FN57 | 热处理 (略有磨损),￥68.91,"
                            225"
UMP-45 | 野孩子 (略有磨损),￥47.50,"
                            90"
法玛斯 | 雅典娜之眼 (破损不堪),￥56.79,"
                            5"
P2000 | 变态杀戮 (略有磨损),￥47.33,"
                            88"
MP9（纪念品） | 暴风呼啸 (略有磨损),￥16.31,"
                            87"
P250 | 超新星 (崭新出厂),￥22.23,"
                            116"
SSG 08 | 幽灵战士 (战痕累累),￥8.33,"
                            36"
M4A1消音版 | 梦魇 (略有磨损),￥155.00,"
                            212"
猎杀者匕首（★）,￥961.00,"
                            27"
AWP | 二西莫夫 (久经沙场),￥800.00,"
                            467"
MP9 | 气密 (久经沙场),￥80.38,"
                            186"
M4A1消音版（StatTrak™） | 印花集 (战痕累累),￥1970.00,"
                            24"
AK-47 | 酷炫涂鸦皮革 (战痕累累),￥2177.00,"
                            17"
猎杀者匕首（★ StatTrak™） | 北方森林 (破损不堪),￥832.00,"
                            3"
UMP-45（纪念品） | 深夜通勤 (略有磨损),￥22.25,"
                            9"
SCAR-20（StatTrak™） | 蓝图 (略有磨损),￥6.72,"
                            29"
印花 | westmelon（闪耀）| 2024年哥本哈根锦标赛,￥2.00,"
                            2"
FN57 | 热处理 (略有磨损),￥68.91,"
                            225"
UMP-45 | 野孩子 (略有磨损),￥47.50,"
                            90"
法玛斯 | 雅典娜之眼 (破损不堪),￥56.79,"
                            5"
P2000 | 变态杀戮 (略有磨损),￥47.33,"
                            88"
MP9（纪念品） | 暴风呼啸 (略有磨损),￥16.31,"
                            87"
P250 | 超新星 (崭新出厂),￥22.23,"
                            116"
P2000（StatTrak™） | 变态杀戮 (久经沙场),￥25.40,"
                            42"
P2000 | 至尊威龙 (久经沙场),￥80.80,"
                            341"
P2000 | 致命红蝎 (崭新出厂),￥102.00,"
                            55"
FN57 | 热处理 (略有磨损),￥68.91,"
                            225"
UMP-45 | 野孩子 (略有磨损),￥47.50,"
                            90"
法玛斯 | 雅典娜之眼 (破损不堪),￥56.79,"
                            5"
P2000 | 变态杀戮 (略有磨损),￥47.33,"
                            88"
MP9（纪念品） | 暴风呼啸 (略有磨损),￥16.31,"
                            87"
P250 | 超新星 (崭新出厂),￥22.23,"
                            116"
P2000（StatTrak™） | 变态杀戮 (久经沙场),￥25.40,"
                            42"
P2000 | 至尊威龙 (久经沙场),￥80.80,"
                            341"
P2000 | 致命红蝎 (崭新出厂),￥102.00,"
                            55"
刺刀（★ StatTrak™） | 黑色层压板 (战痕累累),￥1983.00,"
                            5"
格洛克18型 | 凫色涂鸦 (崭新出厂),￥13.63,"
                            432"
M4A1消音版 | 澜磷 (崭新出厂),￥6555.00,"
                            108"
格洛克18型 | 红苹果 (崭新出厂),￥19.85,"
                            422"
Tec-9（纪念品） | 晶红石英 (崭新出厂),￥258.00,"
                            4"
格洛克18型 | 粉碎者 (崭新出厂),￥46.00,"
                            107"
格洛克18型 | 拉美西斯之触 (崭新出厂),￥321.17,"
                            107"
格洛克18型 | 水灵 (久经沙场),￥112.00,"
                            1015"
格洛克18型 | 黑色魅影 (久经沙场),￥268.99,"
                            214"
光谱武器箱,￥23.29,"
                            1850"
幻彩 2 号武器箱,￥26.48,"
                            1735"
格洛克18型 | 凫色涂鸦 (崭新出厂),￥13.63,"
                            432"
M4A1消音版 | 澜磷 (崭新出厂),￥6555.00,"
                            108"
格洛克18型 | 红苹果 (崭新出厂),￥19.85,"
                            422"
Tec-9（纪念品） | 晶红石英 (崭新出厂),￥258.00,"
                            4"
格洛克18型 | 粉碎者 (崭新出厂),￥46.00,"
                            107"
格洛克18型 | 拉美西斯之触 (崭新出厂),￥321.17,"
                            107"
格洛克18型 | 水灵 (久经沙场),￥112.00,"
                            1015"
格洛克18型 | 黑色魅影 (久经沙场),￥268.99,"
                            214"
光谱武器箱,￥23.29,"
                            1850"
幻彩 2 号武器箱,￥26.48,"
                            1735"
FN57 | 铜色星系 (崭新出厂),￥82.00,"
                            220"
幻彩武器箱,￥30.75,"
                            851"
印花 | loWel | 2019年柏林锦标赛,￥0.98,"
                            10"
M4A4 | 炼狱之火 (略有磨损),￥799.88,"
                            93"
印花 | Spirit（全息）| 2020 RMR,￥3.19,"
                            203"
CZ75自动型（StatTrak™） | 花纹钢板 (久经沙场),￥110.00,"
                            1"
AK-47 | 流金王朝 (久经沙场),￥685.00,"
                            169"
M4A1消音版 | 破碎铅秋 (崭新出厂),￥309.00,"
                            420"
刺刀（★） | 渐变之色 (略有磨损),￥3695.00,"
                            8"
印花 | nex（金色）| 2017年克拉科夫锦标赛,￥8166.00,"
                            1"
印花 | Spirit（全息）| 2020 RMR,￥3.19,"
                            203"
CZ75自动型（StatTrak™） | 花纹钢板 (久经沙场),￥110.00,"
                            1"
AK-47 | 流金王朝 (久经沙场),￥685.00,"
                            169"
M4A1消音版 | 破碎铅秋 (崭新出厂),￥309.00,"
                            420"
刺刀（★） | 渐变之色 (略有磨损),￥3695.00,"
                            8"
印花 | nex（金色）| 2017年克拉科夫锦标赛,￥8166.00,"
                            1"
蝴蝶刀（★） | 屠夫 (略有磨损),￥9499.00,"
                            16"
M4A1消音版 | 毁灭者 2000 (久经沙场),￥97.00,"
                            706"
封装的涂鸦 | 跳跳先生,￥18.43,"
                            7"
SG 553 | 浆果胶衣 (久经沙场),￥9.34,"
                            145"
Tec-9 | 叛逆 (略有磨损),￥1.39,"
                            132"
骷髅匕首（★ StatTrak™） | 屠夫 (久经沙场),￥3235.00,"
                            7"
M4A4 | 合纵 (崭新出厂),￥18666.00,"
                            35"
印花 | NiKo | 2019年柏林锦标赛,￥11.02,"
                            20"
印花 | s1mple （全息） | 2021年斯德哥尔摩锦标赛,￥15.49,"
                            32"
印花 | MOUZ（金色）| 2024年上海锦标赛,￥27.01,"
                            28"
印花 | Rare Atom（金色）| 2024年上海锦标赛,￥94.00,"
                            32"
印花 | ropz（全息）| 2024年哥本哈根锦标赛,￥36.10,"
                            5"
AUG（StatTrak™） | 燕群 (崭新出厂),￥267.99,"
                            7"
G3SG1（StatTrak™） | 梦之林地 (破损不堪),￥3.66,"
                            67"
印花 | MOUZ（金色）| 2024年上海锦标赛,￥27.01,"
                            28"
印花 | Rare Atom（金色）| 2024年上海锦标赛,￥94.00,"
                            32"
印花 | ropz（全息）| 2024年哥本哈根锦标赛,￥36.10,"
                            5"
AUG（StatTrak™） | 燕群 (崭新出厂),￥267.99,"
                            7"
G3SG1（StatTrak™） | 梦之林地 (破损不堪),￥3.66,"
                            67"
封装的涂鸦 | 瞄准头颅,￥3.00,"
                            8"
AK-47 | 迷踪秘境 (战痕累累),￥4.45,"
                            118"
印花 | JamYoung（金色）| 2025年奥斯汀锦标赛,￥699.00,"
                            3"
MP5-SD | 专注 (略有磨损),￥2.30,"
                            215"
PP-野牛（StatTrak™） | 丛林滑流 (略有磨损),￥4.70,"
                            23"
MP9（StatTrak™） | 爆裂食物链 (战痕累累),￥34.65,"
                            41"
PP-野牛 | 阿努比斯之审判 (久经沙场),￥769.99,"
                            165"
印花 | n1ssim（金色）| 2024年哥本哈根锦标赛,￥13.00,"
                            10"
XM1014（纪念品） | 跑跑跑 (崭新出厂),￥35.09,"
                            8"
残酷的达里尔（穷鬼）| 专业人士,￥387.99,"
                            408"
MAG-7 | 北冥有鱼 (略有磨损),￥6.38,"
                            361"
M4A4 | 喧嚣杀戮 (略有磨损),￥5130.00,"
                            187"
SCAR-20（StatTrak™） | 蓝洞 (崭新出厂),￥14.19,"
                            13"
格洛克18型 | 异星世界 (崭新出厂),￥12.22,"
                            81"
弯刀（★ StatTrak™） | 自动化 (久经沙场),￥946.00,"
                            9"
弯刀（★ StatTrak™） | 自动化 (久经沙场),￥946.00,"
                            9"
新星（StatTrak™） | 初升之樱 (略有磨损),￥14.05,"
                            166"
格洛克18型（StatTrak™） | 本生灯 (略有磨损),￥16.38,"
                            76"
AWP | 浮生如梦 (崭新出厂),￥200.00,"
                            213"
鲍伊猎刀（★） | 森林 DDPAT (略有磨损),￥533.00,"
                            8"
弯刀（★） | 枯焦之色 (战痕累累),￥494.00,"
                            34"
锯齿爪刀（★ StatTrak™） | 北方森林 (战痕累累),￥1768.00,"
                            7"
印花 | 怀言者1,￥2.50,"
                            2"
M4A1消音版 | 气泡流行 (略有磨损),￥13.00,"
                            110"
加利尔AR | 冰核聚变 (略有磨损),￥0.50,"
                            201"
MP7 | 笑一个 (久经沙场),￥3.80,"
                            776"
SSG 08（StatTrak™） | 主机001 (略有磨损),￥1.40,"
                            86"
AK-47 | 可燃冰 (略有磨损),￥56.00,"
                            676"
M4A4（纪念品） | 狂哮飓风 (久经沙场),￥71.70,"
                            59"
流浪者匕首（★ StatTrak™） | 人工染色 (破损不堪),￥1291.00,"
                            11"
沙漠之鹰（StatTrak™） | 遗产 (略有磨损),￥241.00,"
                            2"
格洛克18型 | 子弹皇后 (略有磨损),￥404.99,"
                            188"
格洛克18型 | 子弹皇后 (久经沙场),￥352.00,"
                            311"
AK-47 | 夜愿 (略有磨损),￥470.00,"
                            488"
挂件（纪念品） | 2025年奥斯汀锦标赛高光时刻 | 残局可惜,￥3.14,"
                            11"
截短霰弹枪（StatTrak™） | 吞噬 (略有磨损),￥125.00,"
                            11"
CZ75自动型（StatTrak™） | 印花板 (战痕累累),￥2.79,"
                            17"
弯刀（★ StatTrak™） | 澄澈之水 (崭新出厂),￥886.00,"
                            15"
XM1014 | 芭蕉叶 (久经沙场),￥118.00,"
                            33"
SG 553（StatTrak™） | 致命紫罗兰 (略有磨损),￥162.90,"
                            25"
