序号,题号,题目名称,难度,通过率,挑战人数,标签
535,17312,小齐的均分干草计划,中,0%,53,DFS
536,8098,Zentra星民的问题,中,0%,53,数学
537,17575,小齐的信号扩大计划,中,66.7%,53,数学
538,18098,时序的旋律,中,55.6%,53,数学
539,18103,笔意遒劲映龙腾,中,87.5%,53,思维、数学
540,18112,CrystalHarmony,中,0%,53,思维、数学
541,18122,林间疾风各择路,中,81.8%,53,排列组合
542,8653,小然的单调日记,中,0%,53,思维
543,17623,云神参加项目,中,75%,53,动态规划
544,8423,找特殊图的三元环个数,中,0%,53,图论
545,17393,小齐的多牛品种问题,中,66.7%,53,字符串
546,18161,集合的大询问,中,40%,53,树状数组、离散化
547,17394,小齐的牛棚匹配问题,中,0%,53,数学
548,17908,0K乘积,中,41.7%,53,数学
549,18176,时空流转亦是数的变化,中,50%,54,思维、数学
550,17665,康康排兵布阵,中,33.3%,54,数学
551,17971,整数分组的最大绝对差值,中,83.3%,54,数学
552,17471,构造特殊回文串,中,0%,54,思维
553,11085,莫卡的经验值,中,31.6%,54,思维、数学
554,17230,消除蔬菜,中,33.3%,54,排序、数据结构
555,17748,辉神列队,中,72.2%,54,数学
556,17758,井水注满的最小桶数,中,95.2%,54,数学
557,8549,阿蓝学画画,中,40%,54,数据结构
558,17768,完美匹配棋盘构造,中,33.3%,54,数学
559,18027,乐乐的纸牌,中,38.5%,54,数学
560,18287,梦回吴宫桂树间,中,88%,54,思维、数学
561,17273,小齐的牛群运输,中,25%,54,二分
562,17287,小齐的牛场等待问题,中,0%,54,贪心、排序
563,17548,小齐的奶牛棒球比赛,中,90%,54,数学
564,17817,可可的卡片,中,75%,54,数学
565,8346,爱的具体形状,中,41.7%,54,数学
566,18334,小蓝的装修计划,中,0%,54,贪心、构造
567,17567,小齐的拼字板,中,73.3%,54,数学
568,18335,织梦者的指数,中,0%,54,数学
569,17843,怂怂的百搭牌,中,50%,54,数学
570,17857,小齐的袜子搭配,中,66.7%,54,数学
571,17860,小齐的摩托车停车场,中,0%,54,数学
572,8389,社交网络建立的友情,中,33.3%,54,图论
573,8136,诺伊的音乐创作,中,80%,54,思维
574,17371,小齐的疾病传播,中,0%,54,DFS
575,18141,都不要,中,50%,54,字符串、思维、数学
576,17887,正方形与矩形,中,63.6%,54,数学
577,17377,小齐的字符编码谜题,中,0%,54,字符串
578,17380,小齐的问题集,中,0%,54,快速幂
579,8421,找竞赛图三元环2,中,0%,54,图论
580,18154,素弈,中,66.7%,54,博弈、数学
581,8693,神秘数字阵列的变换,中,0%,54,图论、数学
582,17428,小齐的草垛游戏,中,0%,55,动态规划
583,17966,圣诞礼物,中,0%,55,数学
584,17478,小齐的油漆工程,中,94.1%,55,数学
585,17737,最优卡片分数,中,0%,55,数学
586,8277,魔术试验,中,0%,55,数学
587,17753,迷宫的最短探索路径,中,0%,55,数学
588,17809,智能开关游戏,中,0%,55,数学
589,17300,小齐的奶牛经营计划,中,0%,55,贪心、排序
590,8344,赌约的胜率,中,0%,55,思维、数学
591,17311,小齐的目录选择,中,0%,55,DFS、树
592,18345,莉莉切蛋糕,中,0%,55,字符串、数据结构
593,8366,有意思的数列,中,0%,55,数学
594,8622,综合出行,中,0%,55,图论
595,17336,小齐的金属变换,中,33.3%,55,模拟
596,17091,强化装备运气版本,中,75%,55,数学
597,17610,云神的最大最小子数组,中,25%,55,排序
598,17358,小齐的牛棚布局计划,中,66.7%,55,数学
599,18126,百数逆流,中,66.7%,55,思维、数学
600,17874,卓卓的非素数和,中,0%,55,数学
601,8696,神秘宝箱与数字魔法,中,50%,55,思维
602,17662,小齐的登山问题,中,0%,55,数学
603,17677,小齐的岛屿风光,中,0%,56,数学
604,17427,小齐的奇偶分组,中,0%,56,数学
605,18213,游子数珠,中,60%,56,思维、数学
606,6446,高维空间,中,33.3%,56,排列组合
607,17468,小齐的远足计划,中,0%,56,贪心
608,18242,复原研究成果,中,85.7%,56,位运算
609,11082,玩具店的酬宾活动,中,25%,56,数学
610,18255,测试系统,中,40%,56,模拟、贪心、数学
611,17244,卓儿参加竞赛,中,25%,56,数学
612,18294,大工厂,中,77.8%,56,图论、模拟、思维
613,17533,小齐的方块重叠,中,80%,56,数学
614,17285,小齐的奶牛图像,中,0%,56,字符串、DFS
615,17296,小齐挑战之奶牛管理,中,0%,56,贪心、排序
616,18332,假期打扫计划,中,0%,56,贪心、前缀和
617,17827,小齐的挑战之最小偶数,中,50%,56,数学
618,8370,奇怪的拍卖会,中,22.2%,56,EXGCD
619,17603,云神的圆圈,中,75%,56,排序
620,17864,怂怂进行单词排列,中,25%,56,字符串、排序
621,8394,变体的最短周期串,中,66.7%,56,字符串
622,17869,卓卓的第k个特殊数字,中,75%,56,数学、二进制
623,17362,偶数位区间统计,中,0%,56,字符串
624,8158,花坛的小花,中,50%,56,思维
625,17635,康康的01串,中,0%,56,数学
626,17388,小齐的奶厂,中,72.7%,56,图论
627,17914,卓卓的奇数数对和,中,90.9%,56,数学
628,17404,小齐的发型烦恼,中,66.7%,56,模拟
629,18180,三次方最大,中,50%,57,后缀自动机
630,17715,小齐的摄影作品,中,0%,57,数学
631,17979,乐乐的二进制游戏,中,50%,57,数学
632,11080,数字卫士的选拔,中,12.5%,57,数学
633,18250,又在打折了,中,71.4%,57,字符串、模拟
634,17272,小齐的奶牛配对挤奶计划,中,28.6%,57,双指针、贪心、排序
635,18308,因数求和式,中,0%,57,数学、数论分块
636,18076,回环终有序，灵犀一指中,中,33.3%,57,思维、数学
637,8355,山洞迷踪,中,66.7%,57,容斥、数学、排列组合
638,8359,王国阅兵仪式,中,15.4%,57,思维、数学
639,8364,小蓝的三角难题,中,0%,57,数学
640,17333,旭旭的字符串构建,中,0%,57,字符串
641,17334,小齐挑战之油漆工程,中,0%,57,前缀和
642,17085,魔术卡牌,中,0%,57,思维
643,8383,错误里的奇思妙想,中,10%,57,数学
644,8387,社交网络重要的友情,中,50%,57,图论
645,17604,云神的子数组的不同值,中,66.7%,57,排序
646,8422,找1的个数的平方期望,中,0%,57,期望DP、动态规划
647,17643,康康的整数操作,中,50%,57,数学
648,17902,浩浩的连续任务日,中,92.9%,57,数学
649,8691,平衡数字阵列的调整,中,0%,57,思维
650,17663,小齐的奶牛编号问题,中,0%,57,数学
651,17931,隐藏洞,中,85.7%,58,数学
652,17952,圆中最大公约数,中,0%,58,数学
653,17445,多彩森林的计数,难,50%,58,思维
654,17449,小齐的农场管理挑战,中,33.3%,58,DFS
655,17962,可可的星际序列,中,50%,58,数学
656,8252,套装螺母,中,81.2%,58,思维、数学
657,18243,严谨的小红求助于小明,中,77.8%,58,字符串
658,17240,卓儿的税收,中,0%,58,排序、数学
659,8296,小夜的神秘宝石,中,0%,58,思维
660,8297,魔法石的排序,中,0%,58,思维
661,8561,过去的事情,中,66.7%,58,思维
662,17531,小齐的牛群重新排队,中,0%,58,数学
663,18324,小红小蓝玩游戏,中,20%,58,博弈、数学
664,8357,数字间的亲密关系,中,20%,58,数学
665,17831,最优消除序列,中,83.3%,58,数学
666,8386,徒手画圆,中,52.9%,58,计算几何、数学
667,18131,三角形花坛,中,50%,58,计算几何
668,8675,整数数组游戏,中,0%,58,数学
669,8677,数组和异或游戏,中,33.3%,58,位运算
670,8169,小L的排列,中,50%,58,图论
671,8685,神秘的森林冒险,中,66.7%,58,FFT
672,18413,异或的区间划分,中,0%,58,动态规划
673,17907,独特回文子序列,中,0%,58,数学
674,18163,商品的利润,中,17.6%,58,数学
675,18167,晚餐的价格,中,88.5%,58,字符串、数学
676,8188,我爱看漫画,中,25%,58,数学
677,8701,魔法石头之谜,中,60%,58,思维
678,17437,小齐的手链问题,中,0%,59,模拟
679,17454,插入数字保持数组有序,中,42.1%,59,思维
680,8502,笨怂数数,中,25%,59,数学
681,17987,怂怂的石块塔,中,85.7%,59,数学
682,17223,养瓢虫,中,0%,59,分治、贡献计算
683,17741,字符序列重复输入计数,中,0%,59,数学
684,18258,异或一路径,中,33.3%,59,二维前缀和
685,8536,大风起兮云飞扬,中,87.5%,59,思维
686,8542,桃之夭夭,中,14.3%,59,数学
687,17502,寻找无连续置位的第K大数,中,83.3%,59,思维
688,17252,卓儿的橙子数量,中,0%,59,LCA、DFS
689,18278,时空中的和声,中,50%,59,思维、数学
690,18282,三角幅员,中,60%,59,计算几何
691,8558,转学事件,中,66.7%,59,模拟
692,17787,调整积木顺序,中,84.6%,59,数学
693,8577,阿蓝的问题,中,77.8%,59,思维
694,18307,路过的游吟诗人,中,50%,59,计算几何
695,18322,分封的难题,中,25%,59,GCD、数学
696,17828,小齐挑战之设置减法,中,66.7%,59,数学
697,8361,忘记逗号的文本,中,33.3%,59,字符串、思维
698,17586,云神的播放列表,中,42.9%,59,排序
699,18109,小明班级合照,中,0%,59,动态规划
700,8382,坚持锻炼,中,83.3%,59,数学
701,18401,分割绳为三，求三角之最,中,66.7%,59,计算几何
702,8165,乌漆嘛黑的句子,中,82.4%,59,字符串
703,8681,平衡魔杖,中,57.1%,59,思维、构造
704,17657,康康和辉神打牌,中,0%,59,数学
705,17920,乐乐的子数组异或和,中,33.3%,60,数学
706,17426,小齐的字符串操作,中,50%,60,字符串
707,6424,爱好是为难自己,中,16.7%,60,数学
708,17450,小齐的牧场计划,中,42.9%,60,贪心
709,17967,乐乐与怂怂宝可梦对战,中,85%,60,数学
710,17200,锵的距离查询,中,45.5%,60,LCA、DFS、树
711,8504,X市的城市规划,中,33.3%,60,图论、二分图最大匹配
712,17722,怂怂的魔法阵,中,0%,60,数学
713,17771,最小化序列划分代价,中,50%,60,数学
714,8564,阿蓝的黑白色,中,66.7%,60,动态规划
715,8578,随机图三元环的方差,中,0%,60,排列组合、概率
716,17800,智谋棋局,中,25%,60,数学
717,8345,华丽的宫殿,中,25%,60,思维、数学
718,8365,小蓝的神秘委托,中,0%,60,思维、数学
719,18095,明明取球,中,70.6%,60,数学、质因子分解
720,17328,小齐的诗歌艺术,难,0%,60,数学
721,8374,数字对礼物,中,54.5%,60,数学
722,17590,云神的区间覆盖,中,57.1%,60,排序
723,18102,乐趣,中,42.9%,60,DFS、树
724,5050,Ananagrams,中,0%,60,字符串
725,18377,以心为圆，探求本质,中,66.7%,60,计算几何
726,8151,波浪数组,中,0%,60,动态规划
727,18395,分解3个数组,中,0%,60,排列组合
728,17886,卓卓的正数异或和,中,20%,60,数学
729,17633,云神的书店,中,80%,60,动态规划
730,18164,数海泛舟，相乘得一,中,95%,60,思维、数学
731,8474,排列的权值和,中,40%,61,思维、排列组合
732,17189,野兽先辈送快递,中,0%,61,图论
733,18216,晨曦的辉映,中,64.3%,61,计算几何
734,18228,掌握箭的力量,中,63.6%,61,思维、数学
735,17730,小齐的二进制数独,中,0%,61,数学
736,17500,小齐的海岛旅行,中,66.7%,61,数学
737,17246,卓儿分配数字,中,0%,61,排序、数据结构
738,8545,小蓝的神奇魔法棒,中,44.4%,61,思维
739,17770,寻找最长难度单调关卡序列,中,40%,61,数学
740,8557,阿蓝涂色,中,14.3%,61,数据结构
741,18290,多余的边,中,86.4%,61,图论、并查集、思维
742,8326,Conformity,中,33.3%,61,模拟
743,17295,小齐的新建仓库问题,中,25%,61,DFS、树
744,18341,异或零路径,中,71.4%,61,二维前缀和
745,5044,足球比赛题目5：最大通行能力,中,0%,61,图论
746,18105,猜猜这湖有多深,中,50%,61,二分
747,18366,十五星连珠映夜空,中,50%,61,排列组合
748,8654,奇妙的能量石分割,中,87.5%,61,思维
749,17912,交替子数组,中,90.9%,61,数学
750,17667,康康审题,中,0%,62,数学
751,18191,晨间避逢之路,中,75%,62,排列组合
752,17429,小齐的机器人指令,中,0%,62,贪心
753,18205,编织规则的缺失,中,84.2%,62,枚举、分类讨论
754,9776,无情的除草机器,中,0%,62,模拟
755,17210,卓儿的上升序列数,中,33.3%,62,前缀和
756,8508,洁宝和小申,中,0%,62,模拟
757,8262,遥控飞机,中,66.7%,62,思维、数学
758,8008,出现次数为奇数的区间划分个数,中,60%,62,动态规划
759,17227,卓儿的填字游戏,中,50%,62,网络流
760,8278,破解石碑,中,33.3%,62,思维、数位DP、数学
761,18275,小的串,中,71.4%,62,字符串、思维、数学
762,8298,小夜的子序列数量,中,0%,62,思维
763,8307,折扣判定,中,0%,62,序列自动机
764,18292,两个不等式,中,75%,62,思维、数学
765,8593,取模与相减,中,33.3%,62,数学
766,18327,概率的守恒,中,88.9%,62,枚举
767,5022,平面上的整数点,中,0%,62,裴蜀定理、EXGCD
768,8625,画廊作品设计,中,50%,62,模拟、排列组合
769,8128,星迪的密码机器,中,75%,62,思维
770,18374,航海家的笔记,中,37.5%,62,模拟、枚举、数学
771,17877,卓卓的足球锦标赛,中,87.5%,62,数学
772,17387,小齐的奶牛顺序,中,50%,62,排序
773,8178,超级搜查宝贝,中,50%,62,树形DP
774,8436,奇怪图的最长简单路径,中,0%,62,图论
775,8444,树上链覆盖2,中,66.7%,62,动态规划
776,17432,小齐的飞盘游戏,中,33.3%,63,排序
777,17688,浩浩的守望日记,中,68.8%,63,数学
778,18215,求因数,中,71.4%,63,思维、数学
779,17960,连续观察塔,中,54.5%,63,数学
780,17458,数组变换序列,中,0%,63,思维
781,8505,笨怂的字符串,中,0%,63,动态规划
782,8291,神秘宝石的选择,中,20%,63,思维
783,8550,分零食II,中,37.5%,63,动态规划
784,11122,小蓝抽卡,中,0%,63,数学、概率
785,18293,好无聊呀,中,61.1%,63,主席树
786,18052,封卷三元探奇,中,0%,63,思维、数学
787,8586,卡拉卡拉,中,33.3%,63,数学
788,18316,树语增高比翼齐,中,88.9%,63,思维、数学
789,17307,小齐的种草难题,中,0%,63,DFS
790,8606,小蓝的神奇照相机2,中,37.5%,63,字符串
791,17310,小齐的路径优化计划,中,50%,63,DFS
792,18100,区间赋零,中,0%,63,动态规划
793,8378,闯关游戏的试炼,中,20%,63,构造、DFS
794,8130,诺伊的糖果工厂,中,66.7%,63,贪心
795,18372,数学连环,中,83.3%,63,思维、数学
796,17622,野兽先辈查询工资,中,40.9%,63,数据结构
797,17898,人数极值,中,37.5%,63,数学
798,8177,超级基因序列,中,50%,63,动态规划
799,8434,标记永久化练习题4,中,88.9%,63,线段树
800,8441,树上出现次数为偶数的路径判定,中,50%,63,思维
801,18194,子序列最小值,中,0%,64,字符串、思维、贪心
802,8216,丢失的动物,中,80%,64,模拟、枚举
803,18200,星辰下的最短旅途,中,80%,64,思维
804,17956,内嵌区间数,中,92%,64,数学
805,4141,鲁邦的密码挑战,难,33.3%,64,思维
806,4157,促销通道,中,0%,64,图论、最短路问题
807,18017,寻找阶乘和的倍数,中,61.5%,64,数学
808,8067,谁出现过奇数次,中,68.4%,64,位运算
809,8587,昏暗的风穴,中,60%,64,字符串hash
810,8609,小蓝的衣服,中,37.5%,64,思维、枚举
811,5034,爱你的期末考试,中,50%,64,动态规划
812,17583,荣神计算模式出现次数,中,65%,64,字符串
813,8632,蓝桥A梦的新倍数,中,58.3%,64,思维
814,17596,云神的区间覆盖数量,中,0%,64,排序
815,18386,芬妮做午餐,中,0%,64,双指针
816,8162,奇怪的货币兑换,中,0%,64,最短路问题
817,8163,闪耀的灯塔,中,0%,64,动态规划
818,8680,魔法石头阵,中,20%,64,思维
819,8686,神秘二进制串的划分,中,66.7%,64,思维
820,8688,魔法字母串的创作,中,0%,64,思维
821,18417,隐秘的对称,中,50%,64,计算几何
822,4857,麻衣的空中交通管制,中,25%,64,贪心
823,17659,小齐的道路封锁,中,66.7%,64,数学
824,8204,超级咖啡馆,中,60%,65,排列组合
825,18189,星河共振,中,90.9%,65,枚举、数学
826,8465,秋游,中,63.2%,65,思维
827,11025,创意珍珠项链,中,81%,65,模拟
828,17968,可可的光影迷宫,中,88.2%,65,数学
829,8244,魔法小路,中,88%,65,思维、数学
830,4927,帕秋莉的焰灵,中,13.3%,65,矩阵快速幂
831,8273,蓝桥导游,中,16.7%,65,字典树
832,11091,舟渡的游戏,中,40%,65,博弈、数学
833,5004,神秘的密码序列,中,14.3%,65,数学
834,17825,乐乐的水瓶,中,0%,65,数学
835,6572,小蓝的逆序疑惑,中,0%,65,动态规划
836,8624,小蓝的奇妙积分游戏,中,0%,65,思维
837,18099,疲惫的小明,中,33.3%,65,EXGCD、数学
838,17339,小齐的雪人,中,0%,65,DFS
839,8124,诺伊的对称之谜,中,80%,65,思维
840,18393,秤砣与少年,中,28.6%,65,模拟、枚举、数学
841,8668,魔法石头的力量,中,64.3%,65,思维
842,17386,小齐的图谱挑战之最小路径构建,中,0%,65,图论
843,17909,单增数对,中,78.6%,65,数学
844,8695,神秘数字阵列的特殊配对,中,50%,65,思维
845,4856,神秘少女麻衣,中,64.3%,65,位运算
846,8705,蓝蘑菇与红蘑菇,中,50%,66,动态规划
847,8459,选择数列2,中,42.9%,66,2-SAT
848,17174,野兽先辈的和方案数,中,75%,66,二分、数学
849,17193,锵的匹配树,中,50%,66,DFS、树
850,8491,lh收租,中,33.3%,66,图论
851,11053,求两点之间的格点个数,中,62.5%,66,数学
852,18225,四友的分享术,中,93.3%,66,模拟、枚举
853,11070,旅游的路费预算,中,0%,66,思维、数学
854,11077,莫里的难题,中,60%,66,动态规划
855,8270,超模装备,中,15.4%,66,枚举
856,17238,春季大扫除,中,41.7%,66,后缀数组
857,17513,小齐的越野滑雪,中,0%,66,数学
858,18284,扑克权值,中,0%,66,质数
859,8568,管道游戏II,中,33.3%,66,思维
860,8582,交错数组计数,中,0%,66,生成函数、动态规划、数学
861,8327,Where is the Marble,中,0%,66,二分
862,17294,小齐挑战之最佳分数,中,60%,66,贪心、前缀和
863,18064,方圆之间，藏性几何,中,33.3%,66,思维、数学
